arrival_info,stop_number,stop_name,stop_id,latitude,longitude
尚未發車,1,貴子坑水土保持園區,1125200700,25.14506,121.49262
尚未發車,2,秀山里,1125200320,25.145288,121.4938266
尚未發車,3,慈航寺,1125200840,25.144571,121.497011
尚未發車,4,國泰新村,1125200540,25.143537,121.4980051
尚未發車,5,中和里,1125200040,25.142065,121.4987552
尚未發車,6,復興中學,1125200640,25.140425,121.500142
尚未發車,7,中和街,1125200140,25.139157,121.5015207
尚未發車,8,新北投,1125200940,25.137791,121.502937
尚未發車,9,北投公園,1124701040,25.136348,121.5041244
尚未發車,10,第一銀行,1124600540,25.134513,121.5023587
尚未發車,11,北投國小,1126300300,25.133615,121.50136
尚未發車,12,大業中央北路口,1126300060,25.135807,121.4978915
尚未發車,13,幼華高中(大業),1126800040,25.135718,121.4968066
尚未發車,14,大業路(捷運北投站),1126800640,25.13174,121.495841
進站中,15,大業路(大興街口),1126800540,25.12976,121.49669
進站中,16,鳳甲美術館,1126800840,25.127225,121.4978596
進站中,17,大業路(農禪寺),1126800440,25.122429,121.499222
4分鐘,18,承德公館路口,1126200430,25.118907,121.501973
4分鐘,19,立農國小,1126200240,25.117433,121.503568
6分鐘,20,實踐街口,1126200640,25.114726,121.5064388
6分鐘,21,承德路七段,1126200540,25.112706,121.508727
9分鐘,22,石牌,1128700240,25.109536,121.512347
10分鐘,23,文林國小,1128700140,25.108034,121.5139733
11分鐘,24,中正高中,1128700040,25.105059,121.517803
13分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
14分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
16分鐘,27,士林,1115900040,25.095911,121.5242793
進站中,28,小北街,1116300541,25.090999,121.526725
6分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
9分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
10分鐘,31,劍潭國小,1116600240,25.081056,121.5223096
進站中,32,明倫高中,1036700240,25.07344,121.5191524
進站中,33,庫倫街口,1036600040,25.071066,121.5183341
3分鐘,34,民族承德路口,1036500040,25.067913,121.5182673
4分鐘,35,大同國小,1036300040,25.064874,121.5181
7分鐘,36,成淵高中,1036000040,25.062226,121.518152
8分鐘,37,民生西路口,1035300140,25.056725,121.5179896
13分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
進站中,39,南京林森路口,1045400120,25.052069,121.5250604
進站中,40,南京吉林路口,1045700220,25.052007,121.529855
3分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
4分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
6分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
7分鐘,44,捷運南京復興站,1055000120,25.051804,121.5435614
9分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
11分鐘,46,南京寧安街口,1058000020,25.051548,121.5547373
進站中,47,博仁醫院,1056000040,25.04937,121.55774
進站中,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
3分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
6分鐘,50,國父紀念館,1069400040,25.039009,121.5574996
8分鐘,51,市民住宅,1069500140,25.03669,121.55745
8分鐘,52,三張犁,1069500040,25.034098,121.5573365
12分鐘,53,世貿中心(莊敬),1104900140,25.031446,121.56127
14分鐘,54,景新里,1104900440,25.02923,121.5624103
14分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
進站中,56,信義國中(莊敬),1105000240,25.027402,121.565724
3分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
4分鐘,58,松仁路,1104600240,25.024432,121.569585
5分鐘,59,松仁路,1104600200,25.02453,121.5695997
7分鐘,60,吳興國小(松仁),1104600000,25.026234,121.568628
8分鐘,61,信義國中(松仁),1105900000,25.02881,121.568464
9分鐘,62,松平路口,1105800300,25.03124,121.56839
11分鐘,63,信義松仁路口(松仁),1105800400,25.03369,121.5684464
進站中,64,松壽路口,1105100460,25.035881,121.5666401
進站中,65,市政府(松壽),1105100360,25.035907,121.5646562
3分鐘,66,市政府(市府),1100800100,25.038366,121.5636251
